timestamps,TP9,AF7,AF8,TP10,Right AUX
1706612753.918,-45.410,-109.375,-47.363,-61.523,-16.113
1706612753.922,-17.578,-124.023,-51.758,-62.988,-17.578
1706612753.926,-16.113,-157.227,-56.641,-61.523,151.855
1706612753.929,-20.508,-151.367,-55.176,-58.105,225.098
1706612753.933,-46.875,-103.516,-57.617,-70.801,-62.500
1706612753.937,-59.570,-122.559,-63.477,-71.289,-157.227
1706612753.941,-39.062,-151.367,-59.082,-55.664,39.062
1706612753.945,-42.969,-136.719,-58.594,-53.223,11.719
1706612753.947,-63.477,-127.930,-53.711,-67.383,-130.859
1706612753.951,-59.570,-143.066,-55.664,-71.777,-111.328
1706612753.955,-35.156,-169.922,-62.012,-69.336,70.312
1706612753.959,-25.879,-135.742,-54.688,-59.570,100.098
1706612753.963,-22.461,-115.723,-56.641,-62.988,-41.016
1706612753.967,-38.574,-147.949,-65.430,-75.195,27.344
1706612753.971,-70.312,-175.293,-63.477,-63.965,267.578
1706612753.974,-67.871,-125.488,-58.105,-76.660,145.996
1706612753.978,-48.828,-100.098,-54.199,-76.172,-111.816
1706612753.982,-31.250,-127.930,-54.199,-64.453,-52.734
1706612753.986,-25.391,-122.559,-57.129,-72.266,12.695
1706612753.990,-35.645,-114.258,-55.176,-72.754,-57.129
1706612753.993,-34.668,-121.582,-52.246,-77.148,-135.742
1706612753.997,-11.230,-140.625,-55.176,-67.383,103.516
1706612754.001,-7.324,-149.414,-56.152,-55.664,347.656
1706612754.005,-34.180,-113.281,-53.711,-71.289,33.691
1706612754.009,-41.504,-115.723,-55.176,-74.219,-114.258
1706612754.013,-34.668,-150.391,-60.547,-55.176,128.906
1706612754.017,-53.223,-146.973,-62.012,-55.664,233.887
1706612754.020,-55.176,-116.699,-58.105,-68.848,16.602
1706612754.024,-39.551,-126.953,-57.129,-72.754,-75.684
1706612754.028,-31.250,-165.527,-58.594,-58.594,68.359
